Fréquence (Hz)	Niveau (dB)
86,132813	-58,610512
172,265625	-44,796745
258,398438	-38,101944
344,531250	-35,783627
430,664063	-35,799393
516,796875	-45,970219
602,929688	-53,602592
689,062500	-40,328178
775,195313	-32,454292
861,328125	-36,512192
947,460938	-56,158806
1033,593750	-52,455791
1119,726563	-38,897457
1205,859375	-36,300541
1291,992188	-44,321915
1378,125000	-50,278290
1464,257813	-43,209007
1550,390625	-33,766174
1636,523438	-36,082546
1722,656250	-54,015991
1808,789063	-57,610481
1894,921875	-36,933849
1981,054688	-32,292328
2067,187500	-39,254700
2153,320313	-52,456944
2239,453125	-52,473022
2325,585938	-39,413013
2411,718750	-38,873394
2497,851563	-48,430172
2583,984375	-54,142136
2670,117188	-44,349915
2756,250000	-37,841961
2842,382813	-42,481686
2928,515625	-59,594692
3014,648438	-60,572166
3100,781250	-46,515968
3186,914063	-43,421673
3273,046875	-51,488960
3359,179688	-50,731777
3445,312500	-46,370747
3531,445313	-39,046295
3617,578125	-41,257923
3703,710938	-52,790844
3789,843750	-60,981956
3875,976563	-59,131428
3962,109375	-52,499023
4048,242188	-56,173897
4134,375000	-64,928574
4220,507813	-62,670319
4306,640625	-51,392056
4392,773438	-50,721481
4478,906250	-60,788784
4565,039063	-73,431953
4651,171875	-68,106056
4737,304688	-58,362640
4823,437500	-57,523048
4909,570313	-66,619873
4995,703125	-76,814285
5081,835938	-68,603188
5167,968750	-59,613842
5254,101563	-60,512028
5340,234375	-70,688782
5426,367188	-74,859001
5512,500000	-66,344788
5598,632813	-63,691566
5684,765625	-69,257278
5770,898438	-76,441757
5857,031250	-71,578522
5943,164063	-66,082932
6029,296875	-64,867233
6115,429688	-69,212128
6201,562500	-78,484535
6287,695313	-67,729614
6373,828125	-64,094780
6459,960938	-62,703190
6546,093750	-67,667511
6632,226563	-71,751434
6718,359375	-67,300385
6804,492188	-60,307697
6890,625000	-58,943264
6976,757813	-66,792381
7062,890625	-68,747581
7149,023438	-64,477791
7235,156250	-69,352730
7321,289063	-76,215668
7407,421875	-80,568245
7493,554688	-80,267441
7579,687500	-79,799400
7665,820313	-75,896507
7751,953125	-72,393364
